word,freq,year
저,2.025905812335925,1940
고향,1.8372743678548307,1940
길,1.5954032950646646,1940
아리랑,1.4706937148289443,1940
사랑,1.4472631952932928,1940
속에,1.4436375462220503,1940
서울,1.4103680097918132,1940
밤,1.360128686499709,1940
가는,1.3359614709968288,1940
그리운,1.327253943062062,1940
눈물,1.3066932253577872,1940
랄라,1.2808616939816166,1940
어머님,1.2679845458977066,1940
울어,1.2563105563579835,1940
노래,1.244197655650249,1940
옛,1.21801266784786,1940
오늘도,1.1810696854760963,1940
어머니,1.1782360995842949,1940
우는,1.167737843684396,1940
가리라,1.1267836012620533,1940
노래를,1.1227850986755035,1940
달려라,1.1219491695446129,1940
사람아,1.091970439343504,1940
눈물로,1.0916280754510808,1940
하늘,1.0862663568865494,1940
임,1.068926326642745,1940
멀리,1.0555586887988841,1940
마음,1.0530967558770647,1940
사나이,1.0407921341598596,1940
두고,1.0314897400533691,1940
피는,1.0144054921926475,1940
가고,1.0043466769431917,1940
신세,0.9991009289777191,1940
가네,0.9945966847150962,1940
언제나,0.9866878308480991,1940
꿈을,0.9775948713810029,1940
꽃,0.9698058661179747,1940
고개,0.9456527086190976,1940
소쩍궁,0.9450291013877056,1940
외로운,0.9391298578724323,1940
무슨,0.9360758709746388,1940
저어라,0.9248972218323703,1940
어이,0.9195502620099262,1940
제,0.9060533850978294,1940
흐르는,0.9017755543170778,1940
누가,0.9017354063962085,1940
위에,0.9015895260986484,1940
소리,0.9014190171456762,1940
몇,0.8967028053596544,1940
홀로,0.896168549330384,1940
달빛,0.8918997008160557,1940
부른다,0.883198871402676,1940
가슴,0.8779919266561705,1940
울지,0.8734468520297214,1940
음,0.8712542668320229,1940
오빠는,0.8580839685526241,1940
분다,0.8508264147051816,1940
맺은,0.8497303847180866,1940
물고,0.839212175286016,1940
항구,0.8379810598633379,1940
정든,0.8346804293214353,1940
사랑아,0.8294487760830132,1940
젊은,0.829068283034438,1940
어서,0.8255045113079468,1940
푸른,0.8208449982688406,1940
가셨나요,0.8134447668299509,1940
얼굴,0.801095032872283,1940
올,0.8004478916341707,1940
앞에,0.7899011001835003,1940
잊어야,0.7837980223103038,1940
깊은,0.7817301756901052,1940
길을,0.7677311129584775,1940
싣고,0.7629657478841122,1940
님,0.7624617668606367,1940
풍년이,0.7622833973082215,1940
달,0.7616598467975902,1940
봄이,0.7604710084044313,1940
울던,0.7552596634903652,1940
우리,0.7543798312030419,1940
휘파람,0.7451529638053822,1940
안타까운,0.7387707713689983,1940
님은,0.7378842129844458,1940
바다,0.7348187524518552,1940
갈매기,0.7344088596799392,1940
꽃이,0.7343050795486114,1940
불러,0.7288215418222971,1940
흘러간,0.7282261299317863,1940
어디로,0.7201207083591679,1940
어느,0.7197157208331058,1940
찾아,0.7105899178338234,1940
이별만은,0.7051198333831805,1940
사랑도,0.7029526192920142,1940
절로,0.702935875117489,1940
옛날,0.6979153665942497,1940
띵호와,0.6970735117359769,1940
가신,0.6960160743705952,1940
울고,0.686822146617729,1940
손을,0.6867489360475261,1940
물에,0.6838833527646486,1940
세상,0.6824416802876059,1940
말아요,0.6790343179113703,1940
나그네,0.6774568652987002,1940
가만히,0.6769099980440076,1940
나라,0.6768138811876422,1940
울리고,0.6693762815857034,1940
바라보니,0.669009964918047,1940
얼마나,0.6687836782897078,1940
옳으냐,0.6664427424036935,1940
밤도,0.6654151119217523,1940
왔던가,0.6637697710206164,1940
사랑을,0.6637575340261039,1940
떠나가는,0.6606498005717633,1940
에헤라,0.6562659113215549,1940
이것이,0.6562659113215549,1940
늙어,0.655691394436215,1940
물새가,0.6489691676665295,1940
나리는,0.6484612661704412,1940
님이여,0.6464815543002608,1940
왔네,0.6386828458178646,1940
언제,0.6383938236672397,1940
밤을,0.6349651524760818,1940
눈,0.6345199435330308,1940
초립동이,0.6330539039124163,1940
봄은,0.6316668521357596,1940
떠,0.6286360765341537,1940
신라의,0.6144831278891251,1940
안고,0.6106055269130604,1940
항구다,0.6001934181927778,1940
목포는,0.6001934181927778,1940
같이,0.589733577491219,1940
거리,0.5878764260239214,1940
어허야하,0.5877534684204742,1940
봄,0.5871233795457166,1940
가슴은,0.5869599122346317,1940
서울의,0.5812172290433738,1940
주는,0.5782133955114691,1940
백마강,0.5769778294698731,1940
가자,0.5761828198701686,1940
부두,0.5759903094504335,1940
연락선,0.5736421457983374,1940
젖은,0.5735835065282825,1940
님을,0.5727721971754808,1940
달빛도,0.5700386858146336,1940
사랑하는,0.5694612377530378,1940
놀던,0.5692644978134214,1940
바람도,0.5684496156277273,1940
세월은,0.5674438435412457,1940
붉은,0.5673234596071977,1940
한사코,0.566778599803738,1940
끝에,0.5666600294929715,1940
사랑은,0.5661852417405694,1940
고향을,0.5637545131854087,1940
오는,0.561331415117491,1940
방아로다,0.5611650025260007,1940
에라,0.5611650025260007,1940
우여라,0.5611650025260007,1940
흥,0.5607588436478328,1940
엥여라차,0.5607429832603081,1940
노다지,0.5607429832603081,1940
오늘,0.5585885971195484,1940
밤에,0.5581725050345974,1940
몸을,0.5575720159136346,1940
한이,0.5575171261195778,1940
목포의,0.5568520487214609,1940
꼭,0.5552958264437076,1940
여보,0.5552958264437076,1940
비,0.5473405246354368,1940
사람한테,0.5464958715906338,1940
세상에,0.5464433469284367,1940
오세요,0.5464119111293847,1940
찾는,0.5461357604014159,1940
어쩌면,0.5457209230957424,1940
모두,0.5456232214743064,1940
따라,0.5456082949185879,1940
찰랑,0.5452753972820973,1940
그리워,0.5450574617260512,1940
할,0.5437246704611546,1940
