단어,빈도,year
사랑,344,1990y
그대,104,1990y
눈물,72,1990y
세상,63,1990y
모두,62,1990y
모습,56,1990y
기억,54,1990y
마음,50,1990y
지금,50,1990y
사람,47,1990y
위해,42,1990y
사랑,416,2000y
그대,189,2000y
뜨거,102,2000y
사람,85,2000y
눈물,73,2000y
가슴,64,2000y
모두,53,2000y
생각,52,2000y
마음,51,2000y
여자,46,2000y
시간,44,2000y
사랑,416,2010y
그대,189,2010y
뜨거,102,2010y
사람,85,2010y
눈물,73,2010y
가슴,64,2010y
모두,53,2010y
생각,52,2010y
마음,51,2010y
여자,46,2010y
시간,44,2010y
